asin,title,price,rating,reviews,sold_past_month,is_bestseller,is_prime,is_amazon_choice,has_sustainability_features,brand
B0DJK7NW1J,"15.6 Inch Laptops, Windows 11 Laptop Computers with 4GB RAM 128GB SSD, Celeron N5095 Quad-Core CPU(Up to 2.9GHz), 1 Year Office 365, 180 ° Hinge, WiFi 6, 7000mAh, USB 3.2 * 3, HDMI, Type-C",199.98,4.4 out of 5 stars,48.0,100.0,False,False,False,False,Generic
B0BS4BP8FB,"Acer Aspire 3 A315-24P-R7VH Slim Laptop | 15.6"" Full HD IPS Display | AMD Ryzen 3 7320U Quad-Core Processor | AMD Radeon Graphics | 8GB LPDDR5 | 128GB NVMe SSD | Wi-Fi 6 | Windows 11 Home in S Mode",279.99,4.4 out of 5 stars,39243.0,8000.0,False,False,True,False,Acer
B0DKDY78K3,"Newest Gaming Laptop, Laptop with AMD Ryzen 7 5825U (8C/16T, Up to 4.5GHz), 16GB RAM 512GB NVMe SSD Laptop Computer, Radeon RX Vega 8 Graphics, 16.1-inch FHD Display, WiFi 6, 53Wh Battery, Backlit KB",649.99,4.8 out of 5 stars,18.0,100.0,False,False,False,False,Generic
B0CPL25J3W,"HP Portable Laptop, Student and Business, 14"" HD Display, Intel Quad-Core N4120, 8GB DDR4 RAM, 64GB eMMC, 1 Year Office 365, Webcam, RJ-45, HDMI, Wi-Fi, Windows 11 Home, Silver",197.35,4.1 out of 5 stars,1678.0,1000.0,False,False,False,False,HP
B0947BJ67M,"HP 14 Laptop, Intel Celeron N4020, 4 GB RAM, 64 GB Storage, 14-inch Micro-edge HD Display, Windows 11 Home, Thin & Portable, 4K Graphics, One Year of Microsoft 365 (14-dq0040nr, Snowflake White)",176.0,4.0 out of 5 stars,1861.0,4000.0,False,False,False,False,HP
B0B2D77YB8,"HP Newest 14"" Ultral Light Laptop for Students and Business, Intel Quad-Core N4120, 8GB RAM, 192GB Storage(64GB eMMC+128GB Micro SD), 1 Year Office 365, Webcam, HDMI, WiFi, USB-A&C, Win 11 S",249.99,4.0 out of 5 stars,1950.0,2000.0,False,False,False,False,HP
B0DK9HYLFP,"ACEMAGIC Laptop, Newest Windows 11 Laptop Computer,16GB DDR4 512GB SSD Gaming Laptop, Quad-Core N95 Processor, 15.6"" IPS 1080P PC,180° Open Angle,Long Battery Life,Metal Shell,WiFi,USB3.2, Type C",359.99,4.8 out of 5 stars,24.0,100.0,False,False,False,False,ACEMAGIC
B0DHXKL1BF,"HP Flagship 14"" Laptop with 1 Year Office 365 | 16GB RAM | 1.28TB Storage(128GB EMMC & 160GB Docking Station & 1TB Cloud Storage) | Intel 4-Core Processor | Webcam| Silver | Windows 11",339.0,4.3 out of 5 stars,13.0,100.0,False,False,False,False,HP
B09YRY6QCX,ASUS E410 Intel Celeron N4020 4GB 64GB 14-Inch HD LED Win 10 Laptop (Star Black),147.0,4.1 out of 5 stars,678.0,500.0,False,False,False,False,ASUS
B0CZKPF2QH,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 16GB RAM, 288GB Storage (128GB eMMC + 160GB Docking Station Set), Intel UHD Graphics, 720p Webcam, Wi-Fi, 1 Year Office 365, Win 11 S, Silver",309.0,4.3 out of 5 stars,1986.0,500.0,False,False,False,False,HP
B0C3RNRB8W,"HP 17 Laptop, 17.3” HD+ Display, 11th Gen Intel Core i3-1125G4 Processor, 32GB RAM, 1TB SSD, Wi-Fi, HDMI, Webcam, Windows 11 Home, Silver",475.0,4.2 out of 5 stars,1585.0,1000.0,False,False,False,False,HP
B0CBJ46QZX,"Lenovo Newest Flagship Chromebook, 14'' FHD Touchscreen Slim Thin Light Laptop Computer, 8-Core MediaTek Kompanio 520 Processor, 4GB RAM, 64GB eMMC, WiFi 6,Chrome OS+HubxcelAccesory, Abyss Blue",206.99,4.3 out of 5 stars,497.0,2000.0,False,False,False,False,Lenovo
